symbol,timeframe,total_trades,winning_trades,losing_trades,win_rate,avg_win_pct,avg_loss_pct,total_pnl_pct,profit_factor,max_drawdown_pct
FFUSDT,15m,1,1,0,1.0,0.3408140955565486,0.0,0.3408140955565486,inf,0.0
MAVIAUSDT,25m,1,1,0,1.0,0.33852061438965436,0.0,0.33852061438965436,inf,0.0
GRTUSDT,25m,1,1,0,1.0,0.33802302210853485,0.0,0.33802302210853485,inf,0.0
VETUSDT,25m,1,1,0,1.0,0.33655567490154076,0.0,0.33655567490154076,inf,0.0
JOEUSDT,25m,1,1,0,1.0,0.3333691794816623,0.0,0.3333691794816623,inf,0.0
VFYUSDT,15m,1,1,0,1.0,0.33151613378518197,0.0,0.33151613378518197,inf,0.0
SANDUSDT,1h,1,1,0,1.0,0.33088105881938695,0.0,0.33088105881938695,inf,0.0
LTCUSDT,30m,2,2,0,1.0,0.16542025366769456,0.0,0.3308405073353891,inf,0.0
HAEDALUSDT,1h,1,1,0,1.0,0.3283986655546245,0.0,0.3283986655546245,inf,0.0
COWUSDT,45m,1,1,0,1.0,0.3271028037383206,0.0,0.3271028037383206,inf,0.0
IDUSDT,1h,1,1,0,1.0,0.3223836025519229,0.0,0.3223836025519229,inf,0.0
1000LUNCUSDT,30m,1,1,0,1.0,0.31652989449003444,0.0,0.31652989449003444,inf,0.0
LAUSDT,30m,2,1,1,0.5,1.6306844281120798,-1.3142174432497025,0.31646698486237734,1.2408026057543724,1.3142174432497025
XRPUSDT,25m,1,1,0,1.0,0.3075531433740452,0.0,0.3075531433740452,inf,0.0
AWEUSDT,25m,2,2,0,1.0,0.152408534939313,0.0,0.304817069878626,inf,0.0
HEIUSDT,15m,2,1,1,0.5,0.44833475661827304,-0.146321070234115,0.30201368638415804,3.064047822373999,0.146321070234115
IMXUSDT,1h,2,2,0,1.0,0.14925238443887803,0.0,0.29850476887775607,inf,0.0
ENSOUSDT,30m,1,1,0,1.0,0.29794149512459694,0.0,0.29794149512459694,inf,0.0
ERAUSDT,30m,1,1,0,1.0,0.29695619896066183,0.0,0.29695619896066183,inf,0.0
FORTHUSDT,1h,1,1,0,1.0,0.29400955531054784,0.0,0.29400955531054784,inf,0.0
WAXPUSDT,1h,1,1,0,1.0,0.2890173410404607,0.0,0.2890173410404607,inf,0.0
VANAUSDT,15m,1,1,0,1.0,0.2850017812611331,0.0,0.2850017812611331,inf,0.0
ACEUSDT,25m,1,1,0,1.0,0.2801120448179296,0.0,0.2801120448179296,inf,0.0
STRKUSDT,1h,1,1,0,1.0,0.27881040892193465,0.0,0.27881040892193465,inf,0.0
JUPUSDT,25m,1,1,0,1.0,0.27322404371584724,0.0,0.27322404371584724,inf,0.0
ONDOUSDT,25m,1,1,0,1.0,0.2694653240675021,0.0,0.2694653240675021,inf,0.0
