symbol,timeframe,trade_id,signal_time,direction,pattern_group,entry1_price,entry1_filled,entry2_price,entry2_filled,exit_price,exit_time,exit_reason,pnl_pct,tp_price,sl_price
1000BONKUSDT,15m,0,2025-11-06 04:30:00,Short,G1,0.012489,True,0.012431,True,0.012528,2025-11-06 04:45:00,SL,-0.5457463884430205,0.01237,0.012528
SFPUSDT,30m,0,2025-11-01 00:30:00,Short,G3,0.3512,True,0.3489,True,0.3481,2025-11-01 02:00:00,TP,0.557063276674747,0.3481,0.3517
SFPUSDT,1h,0,2025-11-02 21:00:00,Long,G1,0.3438,True,0.3467,True,0.3436,2025-11-03 02:00:00,SL,-0.47791455467052424,0.3503,0.3436
SFPUSDT,15m,0,2025-11-01 00:30:00,Short,G3,0.3512,True,0.3489,True,0.3481,2025-11-01 02:00:00,TP,0.557063276674747,0.3481,0.3517
INITUSDT,30m,0,2025-10-18 17:30:00,Long,G1,0.1709,False,0.1745,True,0.1781,2025-10-19 03:30:00,TP,1.0315186246418395,0.1781,0.1706
QUSDT,30m,0,2025-10-23 10:00:00,Short,G2,0.032883,False,0.032768,True,0.031857,2025-10-23 11:30:00,TP,1.3900756835937427,0.031857,0.033057
QUSDT,1h,0,2025-10-06 01:00:00,Short,G1,0.032597,True,0.031114,True,0.033117,2025-10-06 05:00:00,SL,-3.9600696896925136,0.030675,0.033117
QUSDT,15m,0,2025-11-02 07:45:00,Long,G3,0.021937,True,0.02196,True,0.021568,2025-11-02 09:30:00,SL,-1.7336036631204972,0.022336,0.021568
SPKUSDT,30m,0,2025-10-18 00:00:00,Short,G2,0.03697,False,0.03647,True,0.03631,2025-10-18 00:30:00,TP,0.21935837674801262,0.03631,0.0389
BICOUSDT,30m,0,2025-10-23 19:00:00,Short,G1,0.06543,False,0.06484,True,0.06438,2025-10-24 00:30:00,TP,0.35471930906846716,0.06438,0.06575
BICOUSDT,1h,0,2025-11-04 12:00:00,Short,G1,0.06104,True,0.05774,True,0.06231,2025-11-04 14:00:00,SL,-4.916652635123757,0.05582,0.06231
BICOUSDT,15m,0,2025-11-04 18:45:00,Long,G1,0.05848,False,0.06031,True,0.06101,2025-11-04 19:15:00,TP,0.5803349361631563,0.06101,0.05841
FILUSDT,1h,0,2025-10-20 16:00:00,Short,G1,1.601,False,1.59,True,1.578,2025-10-20 19:00:00,TP,0.37735849056603804,1.578,1.628
FILUSDT,15m,0,2025-11-03 09:00:00,Long,G3,1.512,True,1.519,True,1.503,2025-11-03 10:45:00,SL,-0.8248102936324617,1.535,1.503
BDXNUSDT,30m,0,2025-11-02 01:30:00,Long,G3,0.02978,True,0.02995,True,0.03008,2025-11-02 07:30:00,TP,0.7199062447681113,0.03008,0.02937
BDXNUSDT,1h,0,2025-10-16 20:00:00,Short,G2,0.03805,True,0.03615,True,0.04071,2025-10-17 01:00:00,SL,-9.730458221024264,0.0349,0.04071
LQTYUSDT,30m,0,2025-10-22 04:30:00,Long,G3,0.5174,True,0.5204,True,0.5144,2025-10-22 05:00:00,SL,-0.8672191173636441,0.5245,0.5144
LQTYUSDT,30m,1,2025-10-23 11:00:00,Short,G1,0.5188,False,0.5148,True,0.5131,2025-10-23 12:00:00,TP,0.16511266511266848,0.5131,0.5197
LQTYUSDT,30m,2,2025-10-28 19:00:00,Short,G3,0.5499,True,0.5482,True,0.5246,2025-10-28 21:00:00,TP,4.453146343684561,0.5246,0.6248
